,gyr_time,gyrX,gyrY,gyrZ
69964,139.04099,1.0279802,-2.4224114,-1.9558256
69965,139.043,0.89961582,-2.5001757,-1.9995013
69966,139.04496,0.75580513,-2.5406556,-2.0495689
69967,139.04694,0.59814602,-2.5502431,-2.0916467
69968,139.04889,0.42930159,-2.5300031,-2.1347899
69969,139.05094,0.25193503,-2.4943168,-2.1640847
69970,139.05289,0.067644291,-2.441586,-2.1923141
69971,139.05487,-0.12676647,-2.3707461,-2.2056301
69972,139.05683,-0.32916671,-2.2892532,-2.2141521
69973,139.05884,-0.52304482,-2.1997712,-2.2130868
69974,139.06086,-0.71212929,-2.0980384,-2.2029669
69975,139.06281,-0.8990832,-1.9829898,-2.1821942
69976,139.06476,-1.0759171,-1.8556907,-2.1523669
69977,139.06678,-1.2362394,-1.7198695,-2.112952
69978,139.06876,-1.3821807,-1.5744609,-2.0708742
69979,139.07077,-1.5020229,-1.4114754,-2.0154803
69980,139.0727,-1.5973641,-1.2298478,-1.9504992
69981,139.07471,-1.6671388,-1.037035,-1.8812571
69982,139.07666,-1.7022926,-0.83356941,-1.8002969
69983,139.07865,-1.7044232,-0.62477762,-1.7198695
69984,139.08066,-1.6708673,-0.41971418,-1.6314526
69985,139.08265,-1.5978967,-0.23861924,-1.5435683
69986,139.08466,-1.4860439,-0.080427468,-1.4562165
69987,139.08664,-1.3422332,0.029294772,-1.3630059
69988,139.0886,-1.1675298,0.088949583,-1.2634037
69989,139.09061,-0.97738016,0.093743272,-1.1419635
69990,139.09259,-0.78989357,0.036218993,-0.99762017
69991,139.09458,-0.61146182,-0.071905352,-0.82238418
69992,139.09653,-0.45593318,-0.21252026,-0.62531024
69993,139.09852,-0.3222425,-0.38029942,-0.4048005
69994,139.10053,-0.21891184,-0.55180699,-0.17576863
69995,139.10251,-0.13582122,-0.73396719,0.054328486
69996,139.10447,-0.07456851,-0.89482212,0.27483824
69997,139.10645,-0.017576864,-1.0263823,0.47990164
69998,139.10843,0.03834952,-1.1222562,0.66951871
69999,139.11048,0.10439592,-1.1835088,0.82824314
70000,139.1124,0.18269286,-1.2021509,0.95980328
70001,139.11441,0.26312032,-1.1914983,1.0562097
70002,139.1164,0.34834146,-1.1488878,1.1163971
70003,139.11838,0.41065946,-1.0940266,1.1435614
70004,139.12034,0.44581318,-1.026915,1.1419635
70005,139.12232,0.45060685,-0.96992326,1.1110709
70006,139.12433,0.41705105,-0.93423694,1.051416
70007,139.12635,0.34727621,-0.9219864,0.98057592
70008,139.12827,0.30306774,-0.92784536,0.94116116
70009,139.13028,0.19707392,-0.94808537,0.85647261
70010,139.13227,0.079362199,-0.99122858,0.77071881
70011,139.13428,-0.044208474,-1.0359697,0.6780408
70012,139.13623,-0.16990969,-1.0902982,0.58749336
70013,139.13822,-0.2908172,-1.1472899,0.49854377
70014,139.1402,-0.41385525,-1.2101405,0.41278997
70015,139.14222,-0.52943641,-1.2692626,0.33023199
70016,139.14414,-0.64395237,-1.3273195,0.25672874
70017,139.14612,-0.75527251,-1.3859091,0.19121496
70018,139.14814,-0.85860318,-1.4391723,0.13635385
70019,139.15018,-0.95500958,-1.4828482,0.09267801
70020,139.1521,-1.0423613,-1.5238608,0.065513767
70021,139.15409,-1.1201255,-1.5547534,0.046339005
70022,139.15607,-1.1883025,-1.5888419,0.041545313
70023,139.15809,-1.2442288,-1.6181368,0.049002163
70024,139.16001,-1.2857742,-1.6405072,0.069242187
70025,139.16202,-1.3124058,-1.6500946,0.10439592
70026,139.16398,-1.3331785,-1.6458336,0.14274544
70027,139.16596,-1.3321131,-1.6213325,0.1933455
70028,139.16794,-1.3187973,-1.5845809,0.2428803
70029,139.16996,-1.2937636,-1.5393071,0.29507825
70030,139.17191,-1.2575446,-1.4860439,0.34674358
70031,139.17389,-1.2144015,-1.4242586,0.40586576
70032,139.17585,-1.1659319,-1.3539511,0.46498793
70033,139.17786,-1.1169298,-1.2687299,0.52624065
70034,139.17984,-1.0620687,-1.1792477,0.59281969
70035,139.18183,-1.009338,-1.0769824,0.66206187
70036,139.18378,-0.95394433,-0.96939063,0.73183668
70037,139.1858,-0.9038769,-0.85913581,0.8026768
70038,139.18781,-0.85380948,-0.75260931,0.87564737
70039,139.18982,-0.80427468,-0.63862604,0.95234644
70040,139.19175,-0.75420725,-0.52517539,1.0295781
